Sad
Ae Dil Hai Mushkil
Bekhayali
Beside You
In the End
Jet Black Heart
Lie To Me
Vapor
We Don t Talk Anymore
Adele - Someone Like You
Adele - Hello
Adele - Rolling in the Deep
Sam Smith - Stay With Me
Sam Smith - Too Good at Goodbyes
Coldplay - The Scientist
Coldplay - Fix You
Coldplay - Yellow
Coldplay - Viva La Vida
Coldplay - Paradise
Ed Sheeran - Photograph
Ed Sheeran - Perfect
Ed Sheeran - Thinking Out Loud
Ed Sheeran - Happier
John Legend - All of Me
James Arthur - Say You Won t Let Go
Lewis Capaldi - Someone You Loved
Lewis Capaldi - Before You Go
Christina Perri - A Thousand Years
Lana Del Rey - Young and Beautiful
Sia - Snowman
Sia - Chandelier
Bon Iver - Skinny Love
Birdy - Skinny Love
Damien Rice - The Blower s Daughter
Hozier - Take Me to Church
Shawn Mendes - Mercy
Wiz Khalifa - See You Again
Linkin Park - Shadow of the Day
The Fray - How to Save a Life
Snow Patrol - Chasing Cars
The Script - Breakeven
OneRepublic - Apologize
Passenger - Let Her Go
Tum Hi Ho
Channa Mereya
Agar Tum Saath Ho
Kal Ho Naa Ho
Tujhe Kitna Chahne Lage
Kabira
Tera Yaar Hoon Main
Mere Naam Tu
Phir Bhi Tumko Chahunga
Khairiyat
Tum Mile
Phir Le Aaya Dil
Tum Se Hi
Pal Pal Dil Ke Paas
Lag Ja Gale
Tujhe Bhula Diya
Mehrama
Rabba
Shayad
Naina Khoobsurat
Jeene Laga Hoon
Dil Diyan Gallan
Ranjha Shershaah
Raataan Lambiyan
Hawayein
Tujhe Yaad Na Meri Aayi
Kabhi Kabhi Aditi
Iktara
Tum Se Hi Jab We Met
Phir Mohabbat
Tu Hi Hai
Saiyaara
Kaun Tujhe
Humsafar
Janam Janam
Muskurane Ki Wajah
