Angry
Teeth
Look What You Made Me Do
Attention
Easier
I Knew You Were Trouble
Stitches
Martin Garrix - Scared To Be Lonely feat. Dua Lipa
"Alan Walker, Sabrina Carpenter & Farruko - On My Way"
Linkin Park - In the End
Linkin Park - Numb
Linkin Park - Crawling
Linkin Park - Bleed It Out
Linkin Park - Faint
Eminem - Lose Yourself
Eminem - Till I Collapse
Eminem - Without Me
Eminem - The Real Slim Shady
Eminem - Stan
Metallica - Enter Sandman
Metallica - Master of Puppets
Metallica - One
Metallica - Nothing Else Matters
System of a Down - Chop Suey
System of a Down - Toxicity
Rage Against The Machine - Killing in the Name
Disturbed - Down with the Sickness
Disturbed - Indestructible
Slipknot - Duality
Three Days Grace - Animal I Have Become
Breaking Benjamin - Diary of Jane
Skillet - Monster
Imagine Dragons - Believer
Imagine Dragons - Thunder
Imagine Dragons - Whatever It Takes
Imagine Dragons - Natural
Twenty One Pilots - Heathens
Twenty One Pilots - Stressed Out
Billie Eilish - Bad Guy
Marshmello - Alone
The Score - Born for This
Fall Out Boy - Centuries
AJR - Burn The House Down
Apna Time Aayega
Asli Hip Hop
Doori Gully Boy
Sher Aaya Sher
Mere Gully Mein
Sadda Haq
Nadaan Parindey
Salaam Rocky Bhai
Toofan KGF
Ziddi Dil
Bhaag Milkha Bhaag
Khoon Chala
Roobaroo
Khalbali
Sultan Title Track
Bismil Haider
Manja Kai Po Che
Zinda Bhaag Milkha Bhaag
Malhari
Khalibali Padmaavat
Dhakad
Dangal Title Track
Brothers Anthem
Get Ready to Fight
Sher Aaya Sher Gully Boy
